Score,Wickets Lost,Overs,RPO,Target,Inns,Result,Opposition,Ground,Start Date
134,10,41.5,3.2,190,2,lost,v Netherlands,Amstelveen,8/1/2018
216,10,48.5,4.42,,1,won,v Netherlands,Amstelveen,8/3/2018
176,10,48.5,3.6,255,2,lost,v U.A.E.,Kuala Lumpur,8/30/2018
113,10,33.5,3.33,,1,lost,v U.A.E.,ICCA Dubai,1/25/2019
242,9,50,4.84,,1,won,v U.A.E.,ICCA Dubai,1/26/2019
255,6,44.4,5.7,255,2,won,v U.A.E.,ICCA Dubai,1/28/2019
179,10,46.5,3.82,198,2,lost,v Oman,Kirtipur,2/5/2020
190,10,49.2,3.85,,1,won,v U.S.A.,Kirtipur,2/8/2020
249,8,50,4.98,,1,lost,v Oman,Kirtipur,2/9/2020
36,2,5.2,6.75,36,2,won,v U.S.A.,Kirtipur,2/12/2020
135,8,39.3,3.41,135,2,won,v P.N.G.,Al Amerat,9/7/2021
233,10,49.3,4.7,,1,won,v P.N.G.,Al Amerat,9/10/2021
231,5,49,4.71,231,2,won,v U.S.A.,Al Amerat,9/13/2021
196,10,47.4,4.11,,1,lost,v Oman,Al Amerat,9/14/2021
174,10,48,3.62,,1,lost,v U.S.A.,Al Amerat,9/17/2021
122,3,18.2,6.65,122,2,won,v Oman,Al Amerat,9/19/2021
208,8,49.2,4.21,205,2,won,v P.N.G.,Sharjah,3/16/2022
120,10,35.1,3.41,169,2,lost,v U.A.E.,Dubai (DICS),3/18/2022
103,10,35.1,2.92,203,2,lost,v U.A.E.,Dubai (DICS),3/21/2022
174,3,37,4.7,174,2,won,v P.N.G.,Dubai (DICS),3/22/2022
286,8,50,5.72,293,2,lost,v P.N.G.,Kirtipur,3/25/2022
278,8,50,5.56,,1,lost,v P.N.G.,Kirtipur,3/26/2022
198,10,49.4,3.98,212,2,lost,v Oman,Pearland,6/9/2022
274,10,49.2,5.55,,1,tied,v U.S.A.,Pearland,6/11/2022
167,3,33.1,5.03,164,2,won,v Oman,Pearland,6/14/2022
206,10,47.4,4.32,246,2,lost,v U.S.A.,Pearland,6/15/2022
180,10,46.5,3.84,221,2,lost,v Namibia,Ayr,7/11/2022
146,5,25.1,5.8,145,2,won,v Scotland,Glasgow,7/13/2022
136,10,37.5,3.59,200,2,lost,v Namibia,Ayr,7/16/2022
128,10,35.5,3.57,,1,lost,v Scotland,Glasgow,7/17/2022
179,9,50,3.58,264,2,lost,v U.A.E.,Kirtipur,11/14/2022
193,7,47.5,4.03,192,2,won,v U.A.E.,Kirtipur,11/16/2022
180,4,40.1,4.48,177,2,won,v U.A.E.,Kirtipur,11/18/2022
197,10,49.5,3.95,,1,n/r,v Namibia,Windhoek,12/2/2022
137,10,40.1,3.41,,1,lost,v Scotland,Windhoek,12/4/2022
189,10,46.5,4.03,276,2,lost,v Namibia,Windhoek,12/7/2022
119,10,35.3,3.35,,1,lost,v Scotland,Windhoek,12/8/2022
287,8,47.4,6.02,286,2,won,v Namibia,Kirtipur,2/14/2023
275,7,47,5.85,275,2,won,v Scotland,Kirtipur,2/17/2023
278,7,47.3,5.85,275,2,won,v Namibia,Kirtipur,2/18/2023
213,8,44.1,4.82,213,2,won,v Scotland,Kirtipur,2/21/2023
207,6,45.2,4.56,204,2,won,v P.N.G.,Dubai (DICS),2/27/2023
139,10,31.5,4.36,208,2,lost,v U.A.E.,Dubai (DICS),3/2/2023
182,7,48,3.79,180,2,won,v P.N.G.,Dubai (DICS),3/3/2023
229,8,50,4.58,,1,won,v U.A.E.,Dubai (DICS),3/6/2023
297,10,49.1,6.04,,1,won,v P.N.G.,Kirtipur,3/9/2023
248,10,49.2,5.02,,1,won,v U.A.E.,Kirtipur,3/12/2023
100,1,7.4,13.04,96,2,won,v P.N.G.,Kirtipur,3/13/2023
269,6,44,6.11,261,2,won,v U.A.E.,Kirtipur,3/16/2023
310,8,50,6.2,,1,won,v Oman,Kirtipur,4/21/2023
118,3,30.3,3.86,118,2,won,v U.A.E.,Kirtipur,5/1/2023
290,10,50,5.8,,1,lost,v Zimbabwe,Harare,6/18/2023
211,4,43,4.9,208,2,won,v U.S.A.,Harare,6/20/2023
238,10,49.4,4.79,340,2,lost,v West Indies,Harare,6/22/2023
167,10,44.3,3.75,,1,lost,v Netherlands,Harare,6/24/2023
185,7,43.2,4.26,182,2,won,v U.A.E.,Harare,7/2/2023
268,9,50,5.36,,1,lost,v Ireland,Harare,7/4/2023
104,10,23.4,4.39,343,2,lost,v Pakistan,Multan,8/30/2023
230,10,48.2,4.75,,1,lost,v India,Pallekele,9/4/2023
224,10,50,4.48,,1,won,v Canada,Kirtipur,2/8/2024
287,6,45.1,6.35,286,2,won,v Canada,Kirtipur,2/10/2024
234,1,44.3,5.25,233,2,won,v Canada,Kirtipur,2/12/2024
132,10,41.1,3.2,,1,lost,v Namibia,Kirtipur,2/15/2024
141,1,15.2,9.19,138,2,won,v Netherlands,Kirtipur,2/17/2024
168,10,37.1,4.52,,1,lost,v Namibia,Kirtipur,2/21/2024
172,10,49.3,3.47,,1,lost,v Netherlands,Kirtipur,2/25/2024
150,10,40.1,3.73,254,2,lost,v Canada,King City (NW),9/16/2024
220,9,50,4.4,,1,lost,v Oman,King City (NW),9/18/2024
181,10,46.1,3.92,,1,lost,v Canada,King City (NW),9/22/2024
286,10,50,5.72,,1,lost,v U.S.A.,Dallas,10/27/2024
157,5,29.5,5.26,155,2,won,v Scotland,Dallas,10/29/2024
244,10,49.5,4.89,282,2,lost,v U.S.A.,Dallas,11/2/2024
26,1,6,4.33,,1,n/r,v Scotland,Dallas,11/4/2024
